cid	gene	Top_pQTL_CS_ID	Beta	SE
C100001293	VGF_O15240_OID31067_v1_Neurology_II	1	37.028121270952	1.30643800203467
C100001293	VGF_O15240_OID31067_v1_Neurology_II	2	-1.2789393033477	2.3342453792046
C100001293	VGF_O15240_OID31067_v1_Neurology_II	3	0.306974640107509	0.560152267918885
C100001466	CD38_P28907_OID21316_v1_Oncology	1	-21.0989411997304	0.362755865118534
C100001466	CD38_P28907_OID21316_v1_Oncology	2	-5.98655588373662	0.187283189944958
C100001466	CD38_P28907_OID21316_v1_Oncology	3	0.0651383525335824	0.0948550450293428
C100001466	CD38_P28907_OID21316_v1_Oncology	4	-3.24844496316264	1.08660399336839
C100001466	CD38_P28907_OID21316_v1_Oncology	5	1.39669087573185	0.60955854094899
C100001466	CD38_P28907_OID21316_v1_Oncology	6	19.0918833832143	1.39965832120442
C100001466	CD38_P28907_OID21316_v1_Oncology	7	1.4137684743239	0.777373861598485
C100001466	CD38_P28907_OID21316_v1_Oncology	8	-32.0675414388915	2.41783972183805
C100004541	AOC1_P19801_OID20452_v1_Inflammation	1	0.893169529690582	0.0734583537657144
C100004541	AOC1_P19801_OID20452_v1_Inflammation	2	1.33132041034734	0.220155936172418
C100004541	AOC1_P19801_OID20452_v1_Inflammation	3	-0.759911514274903	0.142350879696391
C100004541	AOC1_P19801_OID20452_v1_Inflammation	4	0.936066244437179	0.467602774039653
C100004541	AOC1_P19801_OID20452_v1_Inflammation	5	16.9976821076197	5.12781054223055
C100004541	AOC1_P19801_OID20452_v1_Inflammation	6	-0.59092701764318	2.02360659977245
C100010923	APOE_P02649_OID30727_v1_Inflammation_II	1	0.129961821994209	0.0219300530611095
C100010923	APOE_P02649_OID30727_v1_Inflammation_II	2	-0.295681080384807	0.0532421714552593
C100010923	APOE_P02649_OID30727_v1_Inflammation_II	3	-0.297522467671411	0.0859085320007975
C100010923	APOE_P02649_OID30727_v1_Inflammation_II	4	0.13149157384652	0.0958028952300999
C100020487	ADAM8_P78325_OID21039_v1_Neurology	1	-0.0157779852321414	0.0888733265800327
C100020487	ADAM8_P78325_OID21039_v1_Neurology	4	2.28751101134432	0.195411727036498
C100020487	ADAM8_P78325_OID21039_v1_Neurology	5	-0.452714041660637	0.219991510438207
C100020487	ADAM8_P78325_OID21039_v1_Neurology	6	-0.610455761795947	0.0614385114798645
C100020487	ADAM8_P78325_OID21039_v1_Neurology	7	0.532155110689279	0.378869723632568
C100020487	ADAM8_P78325_OID21039_v1_Neurology	8	3.57604071936709	0.979906201919674
C100020487	ADAM8_P78325_OID21039_v1_Neurology	9	-14.4079441167813	1.05656140248837
C100021198	CHMP1A_Q9HD42_OID20930_v1_Neurology	1	5.54860155093105	0.516023355754699
C100021198	CHMP1A_Q9HD42_OID20930_v1_Neurology	2	0.528698380337384	0.376495452470568
C1021	OPLAH_O14841_OID30201_v1_Cardiometabolic_II	1	-0.943168451730927	0.290994909148801
C1021	OPLAH_O14841_OID30201_v1_Cardiometabolic_II	2	-1.45552850607764	0.337733204228071
C1021	OPLAH_O14841_OID30201_v1_Cardiometabolic_II	3	-3.64561606497875	0.281961383144684
C1021	OPLAH_O14841_OID30201_v1_Cardiometabolic_II	4	-6.20196291047112	0.547390253290195
C999918899	EPHX2_P34913_OID20119_v1_Cardiometabolic	1	-0.364228296664467	0.117518714438826
C999918899	EPHX2_P34913_OID20119_v1_Cardiometabolic	2	2.10691445428724	1.2124821893119
C999918899	EPHX2_P34913_OID20119_v1_Cardiometabolic	3	-2.85522180069432	0.475418497477099
C999918913	EPHX2_P34913_OID20119_v1_Cardiometabolic	1	-1.06193316121958	0.113178703461564
C999918913	EPHX2_P34913_OID20119_v1_Cardiometabolic	2	4.73887798502666	1.17156367132768
C999918913	EPHX2_P34913_OID20119_v1_Cardiometabolic	3	1.1128603715636	0.459194650596367
C999924328	TIMP4_Q99727_OID21147_v1_Neurology	1	0.704043331010795	0.176208464410491
C999924328	TIMP4_Q99727_OID21147_v1_Neurology	2	0.854161522724005	0.090410816888689
C999924328	TIMP4_Q99727_OID21147_v1_Neurology	3	0.0106231780699103	0.347000008029707
C999924328	TIMP4_Q99727_OID21147_v1_Neurology	4	0.391798478488039	0.474305146534211
C999924328	TIMP4_Q99727_OID21147_v1_Neurology	5	-2.37072229641019	0.459107173652753
C999924328	TIMP4_Q99727_OID21147_v1_Neurology	6	-0.243834336780828	0.352299117760039
C999926054	KLK15_Q9H2R5_OID31427_v1_Oncology_II	1	0.0463528690389592	0.0275618765216981
C999926054	KLK15_Q9H2R5_OID31427_v1_Oncology_II	2	0.0522426131908479	0.0611738683507188
C999926054	KLK15_Q9H2R5_OID31427_v1_Oncology_II	3	0.164877636301176	0.123771635045315
C999926054	KLK15_Q9H2R5_OID31427_v1_Oncology_II	4	0.0109015977612288	0.124287234281775
C999926054	KLK15_Q9H2R5_OID31427_v1_Oncology_II	5	0.0824250787995454	0.251032287901762
C999926054	KLK15_Q9H2R5_OID31427_v1_Oncology_II	6	-0.272158545720043	0.155310661725531
C999926054	KLK15_Q9H2R5_OID31427_v1_Oncology_II	8	-0.0655617532192105	0.181133835740142
C999926054	KLK15_Q9H2R5_OID31427_v1_Oncology_II	9	0.00324205493405147	0.0926120425782342
C999926054	KLK15_Q9H2R5_OID31427_v1_Oncology_II	10	1.83241857733256	0.207671406395092
C999926054	KLK15_Q9H2R5_OID31427_v1_Oncology_II	11	0.0256559440027444	0.10480968251318
C999926054	KLK15_Q9H2R5_OID31427_v1_Oncology_II	12	0.311299954658095	0.326861982091371
